source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet
Twitter for iPhone,831344902990655489,Congratulations to our new #VASecretary Dr. David Shulkin. Time to take care of Veterans who have fought to protect… https://t.co/FNewjbHuw4,Tue Feb 14 03:30:45 +0000 2017,16252,,90851,False
Twitter for iPhone,831336432073658368,Congratulations Treasury Secretary Steven Mnuchin! #ICYMI- watch here: https://t.co/RPsmw4yD7y https://t.co/K8tWLlXiYK,Tue Feb 14 02:57:05 +0000 2017,10918,,63937,False
Twitter for iPhone,831214091993751552,Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO's &amp; business women from Canada🇨🇦and th… https://t.co/wAoCOaYeZ6,Mon Feb 13 18:50:57 +0000 2017,15431,,85397,False
Twitter for iPhone,831185943482793986,Welcome to the @WhiteHouse Prime Minister @JustinTrudeau! https://t.co/WKgF8Zo9ri,Mon Feb 13 16:59:06 +0000 2017,13466,,84754,False
Twitter for iPhone,831169341358014475,Today I will meet with Canadian PM Trudeau and a group of leading business women to discuss women in the workforce. https://t.co/bFAHPRXHdP,Mon Feb 13 15:53:08 +0000 2017,11763,,74360,False
Twitter for Android,830904083519242241,Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!,Sun Feb 12 22:19:05 +0000 2017,25504,,141359,False
Twitter for iPhone,830804130692268032,Congratulations Stephen Miller- on representing me this morning on the various Sunday morning shows. Great job!,Sun Feb 12 15:41:55 +0000 2017,16088,,102935,False
Twitter for Android,830769247185952772,I know Mark Cuban well. He backed me big-time but I wasn't interested in taking all of his calls.He's not smart enough to run for president!,Sun Feb 12 13:23:18 +0000 2017,15285,,82264,False
Twitter for Android,830764596235485188,"After two days of very productive talks, Prime Minister Abe is heading back to Japan. L",Sun Feb 12 13:04:49 +0000 2017,13121,,82736,False
Twitter for Android,830751875578355713,"While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!",Sun Feb 12 12:14:16 +0000 2017,25000,,113074,False
Twitter for Android,830747067379232769,"72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA &amp; YEMEN",Sun Feb 12 11:55:10 +0000 2017,22544,,80492,False
Twitter for Android,830741932099960834,"The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members, drug dealers &amp; others are being removed!",Sun Feb 12 11:34:45 +0000 2017,29437,,148471,False
Twitter for iPhone,830643095150657536,#ICYMI: Joint Statement with Prime Minister Shinzo Abe on North Korea. https://t.co/qEC87FKB1D,Sun Feb 12 05:02:01 +0000 2017,14676,,62151,False
Twitter for iPhone,830618234726543360,RT @Scavino45: LIVE Joint Statement by President Trump and Prime Minister Shinzo Abe: https://t.co/c3Fe5cUaaS,Sun Feb 12 03:23:13 +0000 2017,4810,,0,True
Twitter for Android,830558065715998726,"A working dinner tonight with Prime Minister Abe of Japan, and his representatives, at the Winter White House (Mar-a-Lago). Very good talks!",Sat Feb 11 23:24:08 +0000 2017,13843,,97579,False
Twitter for iPhone,830555911559249926,"Played golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!",Sat Feb 11 23:15:34 +0000 2017,13298,,84098,False
Twitter for Android,830553970225590277,"Playef golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!",Sat Feb 11 23:07:52 +0000 2017,8,,1,False
Twitter for Android,830552079240409089,"I am so proud of my daughter Ivanka. To be abused and treated so badly by the media, and to still hold her head so high, is truly wonderful!",Sat Feb 11 23:00:21 +0000 2017,28439,,207438,False
Twitter for iPhone,723663455748763649,"Thank you Indiana! Was great seeing everyone on Wednesday! I will be back soon! #Trump2016
https://t.co/mWfLxYKPbk https://t.co/62DKEm5XVm",Sat Apr 23 00:03:07 +0000 2016,4296,,12650,False
Twitter for iPhone,723655961999736833,"Thank you California! See you soon!
#MakeAmericaGreatAgain #Trump2016
https://t.co/uJCqbQYYWR https://t.co/8rqI4mQ3Tw",Fri Apr 22 23:33:20 +0000 2016,4538,,11983,False
Twitter for iPhone,723637770758033409,"Thank you, @DonaldJTrumpJr! #Trump2016 #MakeAmericaGreatAgain 
https://t.co/FJXjkZAAQf https://t.co/0NQLzbwuFo",Fri Apr 22 22:21:03 +0000 2016,3404,,10706,False
Twitter for iPhone,723565939162275840,"Thank you for the incredible support, Maryland! This is a movement!
#MakeAmericaGreatAgain #Trump2016
https://t.co/Uyq4sTYb0l",Fri Apr 22 17:35:37 +0000 2016,5471,,15170,False
Twitter for iPhone,723526822424678400,I met Prince on numerous occasions. He was an amazing talent and wonderful guy. He will be greatly missed!,Fri Apr 22 15:00:11 +0000 2016,6786,,26178,False
Twitter for iPhone,723274222907301888,Cruz said Kasich should leave because he couldn't get to 1237. Now he can't get to 1237. Drop out LYIN' Ted.,Thu Apr 21 22:16:27 +0000 2016,8421,,22605,False
Twitter for Android,723266899275091969,Both Ted Cruz and John Kasich have no path to victory. They should both drop out of the race so that the Republican Party can unify!,Thu Apr 21 21:47:21 +0000 2016,8661,,24979,False
Twitter for Android,723094439485399040,Senator Ted Cruz has been MATHEMATICALLY ELIMINATED from race. He said Kasich should get out for same reason. I think both should get out!,Thu Apr 21 10:22:03 +0000 2016,9770,,26505,False
Twitter for Android,723092613457448960,"I will be doing the @TODAYshow with my wife, Melania, and the rest of my family in a major Town Hall. Hopefully, it will be fun! Enjoy.7A.M.",Thu Apr 21 10:14:48 +0000 2016,2580,,11618,False
