subject_name,course_name,abs_course_url
Computer Science,Building AI Powered Chatbots Without Programming,https://www.classcentral.com/course/coursera-building-ai-powered-chatbots-without-programming-13637
Computer Science,Blockchain Opportunity Analysis,https://www.classcentral.com/course/coursera-blockchain-opportunity-analysis-13374
Computer Science,Cybersecurity for Identity Protection,https://www.classcentral.com/course/coursera-cybersecurity-for-identity-protection-13790
Computer Science,Fundamentals of Reinforcement Learning,https://www.classcentral.com/course/coursera-fundamentals-of-reinforcement-learning-14497
Computer Science,Blockchain and Business: Applications and Implications,https://www.classcentral.com/course/coursera-blockchain-and-business-applications-and-implications-13375
Computer Science,Analysis of Algorithms,https://www.classcentral.com/course/coursera-analysis-of-algorithms-921
Computer Science,Interfacing with the Raspberry Pi,https://www.classcentral.com/course/coursera-interfacing-with-the-raspberry-pi-4265
Computer Science,Agile Planning for Software Products,https://www.classcentral.com/course/coursera-agile-planning-for-software-products-4235
Computer Science,Java Programming: Build a Recommendation System,https://www.classcentral.com/course/coursera-java-programming-build-a-recommendation-system-5113
Computer Science,Обучение на размеченных данных,https://www.classcentral.com/course/coursera-----5543
Computer Science,Approximation Algorithms Part II,https://www.classcentral.com/course/coursera-approximation-algorithms-part-ii-5688
Computer Science,"Cloud Computing Applications, Part 2: Big Data and Applications in the Cloud",https://www.classcentral.com/course/coursera-cloud-computing-applications-part-2-big-data-and-applications-in-the-cloud-6309
Computer Science,Cybersecurity and the Internet of Things,https://www.classcentral.com/course/coursera-cybersecurity-and-the-internet-of-things-6586
Computer Science,Introduction to Cisco Networking,https://www.classcentral.com/course/coursera-introduction-to-cisco-networking-9162
Computer Science,Sequence Models,https://www.classcentral.com/course/coursera-sequence-models-9055
Computer Science,Structuring Machine Learning Projects,https://www.classcentral.com/course/coursera-structuring-machine-learning-projects-9056
Computer Science,機器學習基石下 (Machine Learning Foundations)---Algorithmic Foundations,https://www.classcentral.com/course/coursera--machine-learning-foundations-algorithmic-foundations-9737
Computer Science,Getting Started with Google Kubernetes Engine,https://www.classcentral.com/course/coursera-getting-started-with-google-kubernetes-engine-9765
Computer Science,Cyber Attack Countermeasures,https://www.classcentral.com/course/coursera-cyber-attack-countermeasures-9666
Computer Science,Introduction to Cyber Attacks,https://www.classcentral.com/course/coursera-introduction-to-cyber-attacks-9667
Computer Science,Real-Time Cyber Threat Detection and Mitigation,https://www.classcentral.com/course/coursera-real-time-cyber-threat-detection-and-mitigation-9668
Computer Science,Google Cloud Platform Big Data and Machine Learning Fundamentals en Español,https://www.classcentral.com/course/coursera-google-cloud-platform-big-data-and-machine-learning-fundamentals-en-espanol-10754
Computer Science, Intel® Network Academy - Network Transformation 101,https://www.classcentral.com/course/coursera-intel-network-academy-network-transformation-101-12216
Computer Science,Networking in GCP: Defining and Implementing Networks,https://www.classcentral.com/course/coursera-networking-in-gcp-defining-and-implementing-networks-12154
Computer Science,Industrial IoT Markets and Security,https://www.classcentral.com/course/coursera-industrial-iot-markets-and-security-12056
Computer Science,Mitigating Security Vulnerabilities on Google Cloud Platform,https://www.classcentral.com/course/coursera-mitigating-security-vulnerabilities-on-google-cloud-platform-13101
Computer Science,Mastering Digital Twins,https://www.classcentral.com/course/coursera-mastering-digital-twins-13370
Computer Science,Advanced System Security Topics,https://www.classcentral.com/course/coursera-advanced-system-security-topics-13381
Computer Science,Serverless Machine Learning with Tensorflow on Google Cloud Platform,https://www.classcentral.com/course/coursera-serverless-machine-learning-with-tensorflow-on-google-cloud-platform-8696
Computer Science,Cyber Threats and Attack Vectors,https://www.classcentral.com/course/coursera-cyber-threats-and-attack-vectors-9420
Computer Science,Packet Switching Networks and Algorithms,https://www.classcentral.com/course/coursera-packet-switching-networks-and-algorithms-9268
Computer Science,Natural Language Processing,https://www.classcentral.com/course/coursera-natural-language-processing-9603
Computer Science, System Administration and IT Infrastructure Services,https://www.classcentral.com/course/coursera-system-administration-and-it-infrastructure-services-10219
Computer Science,Google Cloud Platform Big Data and Machine Learning Fundamentals 日本語版,https://www.classcentral.com/course/coursera-google-cloud-platform-big-data-and-machine-learning-fundamentals--11223
Computer Science,Google Cloud Platform Fundamentals: Core Infrastructure en Français,https://www.classcentral.com/course/coursera-google-cloud-platform-fundamentals-core-infrastructure-en-francais-11779
Computer Science,Google Cloud Platform Fundamentals: Core Infrastructure 日本語版,https://www.classcentral.com/course/coursera-google-cloud-platform-fundamentals-core-infrastructure--11780
Computer Science,Sesenta años de inteligencia artificial,https://www.classcentral.com/course/coursera-sesenta-anos-de-inteligencia-artificial-12427
Computer Science,Introduction and Programming with IoT Boards,https://www.classcentral.com/course/coursera-introduction-and-programming-with-iot-boards-12535
Computer Science,IBM Customer Engagement Specialist Professional Certificate,https://www.classcentral.com/course/coursera-ibm-customer-engagement-specialist-professional-certificate-12281
Computer Science,Введение в искусственный интеллект,https://www.classcentral.com/course/coursera-----13701
Computer Science,Deploying Machine Learning Models,https://www.classcentral.com/course/coursera-deploying-machine-learning-models-13493
Computer Science,Introduction to Artificial Intelligence (AI),https://www.classcentral.com/course/coursera-introduction-to-artificial-intelligence-ai-13848
Computer Science,Detección de objetos,https://www.classcentral.com/course/coursera-deteccion-de-objetos-3194
Computer Science,Practical Predictive Analytics: Models and Methods,https://www.classcentral.com/course/coursera-practical-predictive-analytics-models-and-methods-4341
Computer Science,Approximation Algorithms Part I,https://www.classcentral.com/course/coursera-approximation-algorithms-part-i-5026
Computer Science,Managing an Agile Team,https://www.classcentral.com/course/coursera-managing-an-agile-team-5564
Computer Science,"Programming Languages, Part B",https://www.classcentral.com/course/coursera-programming-languages-part-b-6920
